metbinyearfuelsource,Meteo ID,SourceTypeID,Location-season,opModeBin,year,FuelId,1,2,3,5,6,31,33,79,87,90,91,98,100,101,102,105,106,107,110,112,115,116,117
100201821053,1,53,Atlanta Summer,0,2018,210,0.000385358,0.000609375,0.003114083,0.00022528,2.30E-05,4.26E-05,0.0012394,0.000160078,0.000209029,4.951861111,6.37E-05,4.957472222,3.09E-05,,,,,,2.84E-05,2.54E-06,1.99E-05,,
101201821053,1,53,Atlanta Summer,1,2018,210,0.000301317,0.000958958,0.001152342,0.00017615,2.30E-05,2.12E-05,0.000458633,0.000125167,0.000163443,2.468008333,3.18E-05,2.472413889,3.38E-05,,,,,,3.11E-05,2.78E-06,2.18E-05,,
111201821053,1,53,Atlanta Summer,11,2018,210,0.000757914,0.001715522,0.001126294,0.000443075,2.30E-05,2.77E-05,0.000448264,0.000314836,0.000411114,3.223583333,4.15E-05,3.234666667,2.46E-05,,,,,,2.26E-05,2.02E-06,1.59E-05,,
112201821053,1,53,Atlanta Summer,12,2018,210,0.000782025,0.00202595,0.005115972,0.000457172,2.30E-05,7.81E-05,0.002036158,0.000324853,0.000424194,9.074361111,0.000116762,9.085777778,5.45E-05,,,,,,5.01E-05,4.49E-06,3.51E-05,,
113201821053,1,53,Atlanta Summer,13,2018,210,0.000920897,0.002916778,0.00829425,0.000538356,2.30E-05,0.000137653,0.003301111,0.000382542,0.000499522,16.00355556,0.000205922,16.01702778,0.00013124,,,,,,0.00012074,1.08E-05,8.46E-05,,
114201821053,1,53,Atlanta Summer,14,2018,210,0.001013614,0.003481222,0.011318194,0.000592558,2.30E-05,0.000198387,0.004504639,0.000421056,0.000549814,23.0645,0.000296777,23.07933333,0.000141906,,,,,,0.000130553,1.17E-05,9.15E-05,,
115201821053,1,53,Atlanta Summer,15,2018,210,0.000861964,0.003836361,0.012834778,0.000503906,2.30E-05,0.000249118,0.00510825,0.000358061,0.000467556,28.9625,0.000372668,28.97527778,0.000186895,,,,,,0.000171943,1.54E-05,0.000120514,,
116201821053,1,53,Atlanta Summer,16,2018,210,0.00089895,0.004562639,0.016654139,0.000525528,2.30E-05,0.000337364,0.006628361,0.000373425,0.000487617,39.22194444,0.000504678,39.235,0.000186895,,,,,,0.000171943,1.54E-05,0.000120514,,
121201821053,1,53,Atlanta Summer,21,2018,210,0.000690972,0.001603419,0.000631475,0.000403942,2.30E-05,2.21E-05,0.000251327,0.000287031,0.000374803,2.571880556,3.31E-05,2.581977778,2.20E-05,,,,,,2.02E-05,1.81E-06,1.42E-05,,
122201821053,1,53,Atlanta Summer,22,2018,210,0.000903967,0.003667972,0.005648972,0.000528458,2.30E-05,9.86E-05,0.002248292,0.000375508,0.000490339,11.46361111,0.000147505,11.47683333,7.47E-05,,,,,,6.87E-05,6.15E-06,4.82E-05,,
123201821053,1,53,Atlanta Summer,23,2018,210,0.000868189,0.004409111,0.008263194,0.000507544,2.30E-05,0.000160143,0.00328875,0.000360644,0.000470931,18.61822222,0.000239566,18.63091667,0.000120698,,,,,,0.000111041,9.93E-06,7.78E-05,,
124201821053,1,53,Atlanta Summer,24,2018,210,0.000854519,0.004793028,0.011700167,0.000499553,2.30E-05,0.00022911,0.004656667,0.000354967,0.000463517,26.63641667,0.000342739,26.64888889,0.000191371,,,,,,0.000176061,1.57E-05,0.0001234,,
125201821053,1,53,Atlanta Summer,25,2018,210,0.000819414,0.005149667,0.014621361,0.000479031,2.30E-05,0.000292947,0.005819306,0.000340383,0.000444475,34.05833333,0.000438236,34.07027778,0.000232804,,,,,,0.000214179,1.92E-05,0.000150116,,
127201821053,1,53,Atlanta Summer,27,2018,210,0.000789875,0.00445875,0.019960361,0.000461761,2.30E-05,0.000397289,0.007944222,0.000328114,0.000428453,46.18888889,0.000594323,46.20027778,0.000280297,,,,,,0.000257873,2.31E-05,0.000180742,,
128201821053,1,53,Atlanta Summer,28,2018,210,0.000774611,0.004260139,0.021672722,0.000452839,2.30E-05,0.000556203,0.00862575,0.000321775,0.000420172,64.66416667,0.000832052,64.67555556,0.000364567,,,,,,0.0003354,3.00E-05,0.00023508,,
129201821053,1,53,Atlanta Summer,29,2018,210,0.000995931,0.005477306,0.027865,0.000582219,2.30E-05,0.000715117,0.011090222,0.000413708,0.000540222,83.13972222,0.00106978,83.15444444,0.000482217,,,,,,0.000443639,3.97E-05,0.000310944,,
130201821053,1,53,Atlanta Summer,30,2018,210,0.00121725,0.0066945,0.034057222,0.000711603,2.30E-05,0.000874031,0.013554722,0.000505644,0.000660272,101.6152778,0.001307508,101.6330556,0.000557908,,,,,,0.000513272,4.59E-05,0.00035975,,
